NAN,0.109375,0.125,0.140625,0.15625,0.171875,0.1875,0.203125,0.21875,0.234375,0.25,0.265625,0.28125,0.296875,0.3125,0.328125,0.34375,0.359375,0.375,0.390625,0.40625,0.421875,0.4375,0.453125,0.46875,0.484375,0.5
416,1.8,1.811111111,1.822222222,1.833333333,1.844444444,1.855555556,1.866666667,1.877777778,1.888888889,1.9,1.8,1.7,1.6,1.5,1.6,1.7,1.7,1.7,1.666666667,1.633333333,1.6,1.566666667,1.533333333,1.5,1.5,1.5
418,2.3,2.311111111,2.322222222,2.333333333,2.344444444,2.355555556,2.366666667,2.377777778,2.388888889,2.4,2.275,2.15,2.025,1.9,2,2.1,2.15,2.2,2.133333333,2.066666667,2,1.933333333,1.866666667,1.8,1.8,1.8
420,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.475,2.35,2.225,2.1,2.25,2.4,2.4,2.4,2.333333333,2.266666667,2.2,2.133333333,2.066666667,2,2,2
422,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.475,2.35,2.225,2.1,2.3,2.5,2.45,2.4,2.333333333,2.266666667,2.2,2.133333333,2.066666667,2,2,2
424,2.7,2.688888889,2.677777778,2.666666667,2.655555556,2.644444444,2.633333333,2.622222222,2.611111111,2.6,2.475,2.35,2.225,2.1,2.15,2.2,2.25,2.3,2.233333333,2.166666667,2.1,2.033333333,1.966666667,1.9,1.9,1.9
426,2.6,2.577777778,2.555555556,2.533333333,2.511111111,2.488888889,2.466666667,2.444444444,2.422222222,2.4,2.275,2.15,2.025,1.9,2.05,2.2,2.15,2.1,2.016666667,1.933333333,1.85,1.766666667,1.683333333,1.6,1.7,1.8
428,2.2,2.177777778,2.155555556,2.133333333,2.111111111,2.088888889,2.066666667,2.044444444,2.022222222,2,1.875,1.75,1.625,1.5,1.65,1.8,1.8,1.8,1.733333333,1.666666667,1.6,1.533333333,1.466666667,1.4,1.55,1.7
430,1.8,1.777777778,1.755555556,1.733333333,1.711111111,1.688888889,1.666666667,1.644444444,1.622222222,1.6,1.525,1.45,1.375,1.3,1.4,1.5,1.5,1.5,1.466666667,1.433333333,1.4,1.366666667,1.333333333,1.3,1.45,1.6
432,1.4,1.377777778,1.355555556,1.333333333,1.311111111,1.288888889,1.266666667,1.244444444,1.222222222,1.2,1.175,1.15,1.125,1.1,1.15,1.2,1.25,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.45,1.6
434,1.2,1.211111111,1.222222222,1.233333333,1.244444444,1.255555556,1.266666667,1.277777778,1.288888889,1.3,1.275,1.25,1.225,1.2,1.2,1.2,1.25,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.5
436,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.425,1.35,1.275,1.2,1.25,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.25,1.2
438,1.8,1.777777778,1.755555556,1.733333333,1.711111111,1.688888889,1.666666667,1.644444444,1.622222222,1.6,1.5,1.4,1.3,1.2,1.3,1.4,1.35,1.3,1.283333333,1.266666667,1.25,1.233333333,1.216666667,1.2,1.1,1
440,1.8,1.777777778,1.755555556,1.733333333,1.711111111,1.688888889,1.666666667,1.644444444,1.622222222,1.6,1.5,1.4,1.3,1.2,1.3,1.4,1.4,1.4,1.383333333,1.366666667,1.35,1.333333333,1.316666667,1.3,1.3,1.3
442,1.7,1.677777778,1.655555556,1.633333333,1.611111111,1.588888889,1.566666667,1.544444444,1.522222222,1.5,1.45,1.4,1.35,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.7
444,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.65,1.7,1.75,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.95,2.1
446,1.6,1.622222222,1.644444444,1.666666667,1.688888889,1.711111111,1.733333333,1.755555556,1.777777778,1.8,1.825,1.85,1.875,1.9,1.95,2,2.05,2.1,2.116666667,2.133333333,2.15,2.166666667,2.183333333,2.2,2.35,2.5
448,1.7,1.733333333,1.766666667,1.8,1.833333333,1.866666667,1.9,1.933333333,1.966666667,2,2.025,2.05,2.075,2.1,2.2,2.3,2.3,2.3,2.316666667,2.333333333,2.35,2.366666667,2.383333333,2.4,2.55,2.7
450,1.8,1.833333333,1.866666667,1.9,1.933333333,1.966666667,2,2.033333333,2.066666667,2.1,2.125,2.15,2.175,2.2,2.25,2.3,2.35,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.6
452,1.8,1.833333333,1.866666667,1.9,1.933333333,1.966666667,2,2.033333333,2.066666667,2.1,2.075,2.05,2.025,2,2.05,2.1,2.15,2.2,2.183333333,2.166666667,2.15,2.133333333,2.116666667,2.1,2.2,2.3
454,1.7,1.722222222,1.744444444,1.766666667,1.788888889,1.811111111,1.833333333,1.855555556,1.877777778,1.9,1.85,1.8,1.75,1.7,1.75,1.8,1.65,1.5,1.533333333,1.566666667,1.6,1.633333333,1.666666667,1.7,1.8,1.9
456,1.4,1.422222222,1.444444444,1.466666667,1.488888889,1.511111111,1.533333333,1.555555556,1.577777778,1.6,1.55,1.5,1.45,1.4,1.45,1.5,1.5,1.5,1.483333333,1.466666667,1.45,1.433333333,1.416666667,1.4,1.5,1.6
458,1.2,1.233333333,1.266666667,1.3,1.333333333,1.366666667,1.4,1.433333333,1.466666667,1.5,1.45,1.4,1.35,1.3,1.4,1.5,1.5,1.5,1.483333333,1.466666667,1.45,1.433333333,1.416666667,1.4,1.5,1.6
460,1.5,1.544444444,1.588888889,1.633333333,1.677777778,1.722222222,1.766666667,1.811111111,1.855555556,1.9,1.85,1.8,1.75,1.7,1.8,1.9,1.95,2,1.966666667,1.933333333,1.9,1.866666667,1.833333333,1.8,1.95,2.1
